Pool,Address,map_location,City,State,Zip,Area,Phone,Cost,Website,email
Bartholomew,1800 E 51st St,https://maps.app.goo.gl/9tXnSByKAuQMB8Sg6,Austin,TX,78723,East,(512) 974-1650,free,https://www.austintexas.gov/department/bartholomew-pool,
Barton Springs,2131 William Barton Dr,https://maps.app.goo.gl/BAT4y6frVAvrvMvr9,Austin,TX,78746,Central,512-974-6300,free,https://www.austintexas.gov/services/visit-barton-springs ,
Big Stacy,700 E Live Oak St,https://maps.app.goo.gl/dn65sWABnY6aVBNm9,Austin,TX,78704,Central,512-445-0304,free,https://www.austintexas.gov/department/big-stacy-pool ,
Colony Park,7400 Loyola Ln.,https://maps.app.goo.gl/dn65sWABnY6aVBNm9,Austin,TX,78724,East,512-974-123,,https://www.austintexas.gov/page/colony-park-district-pool ,
Deep Eddy,401 Deep Eddy Ave,https://maps.app.goo.gl/K1n2djAYtkgnbfrcA,Austin,TX,78705,Central, 512-472-8546,,https://www.austintexas.gov/department/deep-eddy-pool ,
Springwoods,13320 Lyndhurst St,https://maps.app.goo.gl/eqZTHC96vtQwZTar7,Austin,TX,,North,512-996-8978,,https://www.austintexas.gov/department/springwoods-pool ,
Circle C Ranch,5919 La Crosse Avenue,https://maps.app.goo.gl/9TBycbfCbayQuFBs7,Austin,TX,78739,South,(512) 363-5578,,https://circlecranch.com/amenities/circle-c-aquatics/,customerservice@ccswim.net
Mabel Davis,3427 Parker Ln,https://maps.app.goo.gl/AxJZattHy6Z97zp6A,Austin,TX,78741,East,512-441-5247,,https://www.austintexas.gov/department/mabel-davis-pool,
Legend Oaks,6100 Convict Hill Road,https://maps.app.goo.gl/yTPFvEBiXwZRfhGj7,Austin,TX,78749,South,,,https://www.legendoaks.org/legendoaks/page.html?page_id=6#PA1,
Goodnight Ranch,5601 Baythorne Dr,https://maps.app.goo.gl/n48F4TqDHtDW8uCw5,Austin,TX,78747,East,(512) 852-7902,,,
